rank,concept,concepticon_id,concepticon_gloss,borrowed_score,age_score,composite_score,form,notes
1,fire,221,FIRE,0.965,0.939,0.901,,
2,nose,1221,NOSE,0.973,0.906,0.864,,
3,to go,695,GO,0.963,0.887,0.832,,
4,water,948,WATER,0.909,0.926,0.831,,
5,mouth,674,MOUTH,0.920,0.904,0.817,,
6,tongue,1205,TONGUE,0.934,0.908,0.808,,
7,blood,946,BLOOD,0.904,0.890,0.805,,
8,bone,1394,BONE,0.918,0.904,0.805,,
9,2sg pronoun,1215,THOU,0.958,0.893,0.798,,
10,root,670,ROOT,0.944,0.869,0.798,,
11,to come,1446,COME,0.968,0.876,0.796,,
12,breast,1402,BREAST,0.947,0.856,0.783,,
13,rain,658,RAIN (PRECIPITATION),0.916,0.898,0.782,,
14,1sg pronoun,1209,I,0.970,0.875,0.776,,
15,louse,1392,LOUSE,0.950,0.861,0.774,,
16,name,1405,NAME,0.915,0.886,0.774,,
17,wing,1257,WING,0.884,0.904,0.773,,
18,flesh/meat,2615,FLESH OR MEAT,0.877,0.892,0.771,,
19,arm/hand,2121,ARM OR HAND,0.881,0.903,0.768,,
20,fly,1504,FLY (INSECT),0.948,0.858,0.766,,
21,night,1233,NIGHT,0.931,0.880,0.766,,
22,ear,1247,EAR,0.896,0.888,0.764,,
23,far,1406,FAR,0.944,0.850,0.760,,
24,neck,1333,NECK,0.895,0.881,0.760,,
25,to do/make,2575,DO OR MAKE,0.947,0.877,0.759,,
26,house,1252,HOUSE,0.893,0.876,0.758,,
27,stone/rock,2125,STONE OR ROCK,0.895,0.882,0.756,,
28,bitter,887,BITTER,0.975,0.872,0.755,,
29,to say,1458,SAY,0.972,0.837,0.755,,
30,tooth,1380,TOOTH,0.882,0.877,0.755,,
31,hair,1040,HAIR,0.944,0.871,0.754,,
32,big,1202,BIG,0.889,0.864,0.753,,
33,one,1493,ONE,0.870,0.893,0.753,,
34,3sg pronoun,262,HE OR SHE OR IT,1.000,0.893,0.749,,
35,who?,1235,WHO,0.968,0.838,0.749,,
36,to hit/beat,2133,STRIKE OR BEAT,0.955,0.827,0.748,,
37,leg/foot,2098,FOOT OR LEG,0.856,0.897,0.747,,
38,fish,227,FISH,0.855,0.885,0.745,,
39,horn,1393,HORN (ANATOMY),0.840,0.898,0.745,,
40,this,1214,THIS,1.000,0.851,0.745,,
41,yesterday,1174,YESTERDAY,0.958,0.843,0.744,,
42,black,163,BLACK,0.951,0.866,0.741,,
43,navel,1838,NAVEL,0.878,0.860,0.741,,
44,to drink,1401,DRINK,0.904,0.877,0.741,,
45,to stand,1442,STAND,0.981,0.847,0.738,,
46,back,1291,BACK,0.918,0.868,0.736,,
47,to bite,1403,BITE,0.964,0.861,0.736,,
48,wind,960,WIND,0.828,0.900,0.736,,
49,smoke,778,SMOKE (EXHAUST),0.916,0.863,0.734,,
50,what?,1236,WHAT,0.971,0.804,0.732,,
51,child (kin term),1801,CHILD (DESCENDANT),0.929,0.866,0.730,,
52,egg,744,EGG,0.910,0.846,0.728,,
53,new,1231,NEW,0.920,0.860,0.727,,
54,to burn (intr.),1428,BURNING,0.951,0.860,0.727,,
55,to give,1447,GIVE,0.913,0.878,0.727,,
56,good,1035,GOOD,0.893,0.860,0.726,,
57,not,1240,NOT,0.965,0.880,0.726,,
58,to know,3626,KNOW,0.933,0.856,0.725,,
59,knee,1371,KNEE,0.911,0.862,0.724,,
60,sand,671,SAND,0.901,0.866,0.724,,
61,to hear,1408,HEAR,0.953,0.848,0.723,,
62,to laugh,1355,LAUGH,0.942,0.844,0.723,,
63,soil,1228,EARTH (SOIL),0.900,0.883,0.722,,
64,leaf,628,LEAF,0.897,0.823,0.721,,
65,red,156,RED,0.926,0.864,0.721,,
66,liver,1224,LIVER,0.869,0.857,0.720,,
67,skin/hide,763,SKIN,0.889,0.875,0.718,,
68,to hide,2486,HIDE,0.928,0.847,0.718,,
69,to suck,1421,SUCK,0.940,0.860,0.718,,
70,to carry,700,CARRY,0.919,0.838,0.717,,
71,ant,587,ANT,0.865,0.850,0.716,,
72,heavy,1210,HEAVY,0.911,0.874,0.716,,
73,to take,1749,TAKE,0.900,0.898,0.716,,
74,old,1229,OLD,0.896,0.867,0.715,,
75,to eat,1336,EAT,0.920,0.840,0.714,,
76,thick,1244,THICK,0.950,0.827,0.712,,
77,thigh,471,UPPER LEG (THIGH),0.906,0.856,0.712,,
78,long,1203,LONG,0.956,0.824,0.707,,
79,to blow,175,BLOW (OF WIND),0.962,0.857,0.706,,
80,wood,1803,WOOD,0.860,0.871,0.705,,
81,to fall,1280,FALL,0.946,0.825,0.704,,
82,to run,1519,RUN,0.976,0.833,0.704,,
83,eye,1248,EYE,0.904,0.847,0.703,,
84,ash,646,ASH,0.853,0.891,0.699,,
85,dog,2009,DOG,0.838,0.869,0.699,,
86,tail,1220,TAIL,0.883,0.813,0.699,,
87,to cry/weep,1839,CRY,0.871,0.871,0.698,,
88,to tie,1917,TIE,0.879,0.836,0.697,,
