language,glottocode,glottolog_name,glottolog_family,note
Akkala Sami,akka1237,Akkala Saami,Uralic,
Alemannic German,swis1247,Central Alemannic,Indo-European,
Amondawa,amun1246,Amundava,Tupian,
Ancient Greek,anci1242,Ionic-Attic Ancient Greek,Indo-European,
Antillean Creole,guad1242,Guadeloupe-Martinique Creole French,Indo-European,
Armenian,nucl1235,Eastern Armenian,Indo-European,armênio oriental
Asi,bant1288,Bantoanon,Austronesian,
Aymara,cent2142,Central Aymara,Aymaran,aimará central
Azerbaijani,nort2697,North Azerbaijani,Turkic,azerbaijano do norte
Bakung,baku1265,Bakung Kenyah,Bookkeeping,"Bakung Kenyah — Glottolog marca como Bookkeeping (código aposentado), iso boc"
Baluchi,balo1260,Balochic,Indo-European,nó de grupo Balochic
Bau Bidayuh,baub1235,Bau-Jagoi Bidayuh,Austronesian,
Buryat,russ1264,Russia Buriat,Mongolic-Khitan,
Canela,cane1242,Central-Southern Timbira,Nuclear-Macro-Je,
Carpathian Rusyn,rusy1239,Rusyn,Indo-European,
Central Atlas Tamazight,cent2194,Central Moroccan Berber,Afro-Asiatic,
Central Bikol,cent2087,Coastal-Naga Bikol,Austronesian,
Chichewa,nyan1308,Nyanja,Atlantic-Congo,
Dargwa,darg1241,North-Central Dargwa,Nakh-Daghestanian,
Daur,daur1238,Dagur,Mongolic-Khitan,
East Central German (Silesian),lowe1388,Lower Silesian,Indo-European,
East Circassian (Kabardian),kaba1278,Kabardian,Abkhaz-Adyge,
Eastern Khanty,east2774,East Khanty,Uralic,grupo East Khanty
Eastern Min,mind1253,Min Dong Chinese,Sino-Tibetan,
Emilian,emil1241,Emiliano,Indo-European,
Franco-Provençal,fran1260,Arpitan,Indo-European,
Greenlandic,kala1399,Kalaallisut,Eskimo-Aleut,kalaallisut
Guinea-Bissau Creole,uppe1455,Upper Guinea Crioulo,Indo-European,
Haitian Creole,hait1244,Haitian,Indo-European,
Hakka,hakk1236,Hakka Chinese,Sino-Tibetan,
Hebrew,hebr1245,Modern Hebrew,Afro-Asiatic,hebraico moderno
Hokkien,minn1241,Min Nan Chinese,Sino-Tibetan,
Ilocano,ilok1237,Iloko,Austronesian,
Inari Sami,inar1241,Inari Saami,Uralic,
Indonesian,indo1316,Standard Indonesian,Austronesian,indonésio padrão
Inuktitut,east2534,Eastern Canadian Inuktitut,Eskimo-Aleut,inuktitut canadense oriental
Iranian Persian,west2369,Western Farsi,Indo-European,persa ocidental
Isan,nort2741,Northeastern Thai,Tai-Kadai,Northeastern Thai (corrige homônimo do auto-match)
Itelmen,itel1242,West Itelmen,Chukotko-Kamchatkan,
Jamaican Creole,jama1262,Jamaican Creole English,Indo-European,
Kaitag,kajt1238,Kajtak,Nakh-Daghestanian,
Kanuri,cent2050,Central Kanuri,Saharan,kanuri central
