language,our_family,glottocode,glottolog_name,glottolog_family,status
Old English,Indo-European,olde1238,Old English (ca. 450-1100),Indo-European,OK
Scots,Indo-European,scot1243,Scots,Indo-European,OK
Old Saxon,Indo-European,olds1250,Old Saxon,Indo-European,OK
Low German,Indo-European,lowg1239,Low German,Indo-European,OK
Plautdietsch,Indo-European,plau1238,Plautdietsch,Indo-European,OK
Old Dutch,Indo-European,oldd1238,Old Dutch,Indo-European,OK
Dutch,Indo-European,dutc1256,Dutch,Indo-European,OK
Afrikaans,Indo-European,afri1274,Afrikaans,Indo-European,OK
Zealandic,Indo-European,zeeu1238,Zeeuws,Indo-European,MANUAL
Old High German,Indo-European,oldh1241,Old High German (ca. 750-1050),Indo-European,OK
German,Indo-European,stan1295,German,Indo-European,OK
Alemannic German,Indo-European,swis1247,Central Alemannic,Indo-European,MANUAL
Bavarian,Indo-European,bava1246,Bavarian,Indo-European,OK
East Central German (Silesian),Indo-European,lowe1388,Lower Silesian,Indo-European,MANUAL
Hunsrik,Indo-European,riog1239,Hunsrik,Indo-European,OK
Luxembourgish,Indo-European,luxe1241,Moselle Franconian,Indo-European,MANUAL
Mòcheno,Indo-European,moch1255,Mòcheno,Indo-European,OK
Pennsylvania German,Indo-European,penn1240,Pennsylvania German,Indo-European,OK
Vilamovian,Indo-European,wymy1235,Wymysorys,Indo-European,MANUAL
Yiddish,Indo-European,east2295,Eastern Yiddish,Indo-European,MANUAL
North Frisian (Föhr-Amrum),Indo-European,nort2626,Northern Frisian,Indo-European,MANUAL
Saterland Frisian,Indo-European,sate1242,Ems-Weser Frisian,Indo-European,MANUAL
West Frisian,Indo-European,west2354,Western Frisian,Indo-European,MANUAL
Old Norse,Indo-European,oldn1244,Old Norse,Indo-European,OK
Danish,Indo-European,dani1285,Danish,Indo-European,OK
Elfdalian,Indo-European,elfd1234,Elfdalian,Indo-European,OK
Faroese,Indo-European,faro1244,Faroese,Indo-European,OK
Icelandic,Indo-European,icel1247,Icelandic,Indo-European,OK
Norn,Indo-European,oldn1246,Old Norn,Indo-European,MANUAL
Norwegian Bokmål,Indo-European,norw1259,Norwegian Bokmål,Indo-European,OK
Norwegian Nynorsk,Indo-European,norw1262,Norwegian Nynorsk,Indo-European,OK
Swedish,Indo-European,swed1254,Swedish,Indo-European,OK
Gothic,Indo-European,goth1244,Gothic,Indo-European,OK
Latin,Indo-European,lati1261,Latin,Indo-European,OK
Aragonese,Indo-European,arag1245,Aragonese,Indo-European,OK
Asturian,Indo-European,astu1246,Asturian,Indo-European,OK
Catalan,Indo-European,stan1289,Catalan,Indo-European,OK
Extremaduran,Indo-European,extr1243,Extremaduran,Indo-European,OK
Fala,Indo-European,fala1241,Fala,Indo-European,OK
Galician,Indo-European,gali1258,Galician,Indo-European,OK
Ladino,Indo-European,ladi1251,Ladino,Indo-European,OK
Mirandese,Indo-European,mira1251,Mirandese,Indo-European,OK
Portuguese,Indo-European,port1283,Portuguese,Indo-European,OK
Spanish,Indo-European,stan1288,Spanish,Indo-European,OK
Old French,Indo-European,oldf1239,Old French (842-ca. 1400),Indo-European,OK
Middle French,Indo-European,midd1316,Middle French,Indo-European,OK
French,Indo-European,stan1290,French,Indo-European,OK
Franco-Provençal,Indo-European,fran1260,Arpitan,Indo-European,MANUAL
Old Occitan,Indo-European,oldp1253,Old Provençal,Indo-European,MANUAL
Occitan,Indo-European,occi1239,Occitan,Indo-European,OK
Walloon,Indo-European,wall1255,Walloon,Indo-European,OK
Emilian,Indo-European,emil1241,Emiliano,Indo-European,MANUAL
Ligurian,Indo-European,ligu1248,Ligurian,Indo-European,OK
Lombard,Indo-European,lomb1257,Lombard,Indo-European,OK
Piedmontese,Indo-European,piem1238,Piemontese,Indo-European,MANUAL
Romagnol,Indo-European,roma1328,Romagnol,Indo-European,OK
Venetan,Indo-European,vene1258,Venetian,Indo-European,MANUAL
Corsican,Indo-European,cors1241,Corsican,Indo-European,OK
Dalmatian,Indo-European,dalm1243,Dalmatian,Indo-European,OK
Istriot,Indo-European,istr1244,Istriot,Indo-European,OK
Italian,Indo-European,ital1282,Italian,Indo-European,OK
Neapolitan,Indo-European,neap1235,Continental Southern Italian,Indo-European,MANUAL
Sicilian,Indo-European,sici1248,Sicilian,Indo-European,OK
Tarantino,Indo-European,neap1235,Continental Southern Italian,Indo-European,MANUAL
Friulian,Indo-European,friu1240,Friulian,Indo-European,OK
Ladin,Indo-European,ladi1250,Ladin,Indo-European,OK
Romansh,Indo-European,roma1326,Romansh,Indo-European,OK
Aromanian,Indo-European,arom1237,Aromanian,Indo-European,OK
Istro-Romanian,Indo-European,istr1245,Istro-Romanian,Indo-European,OK
Megleno-Romanian,Indo-European,megl1237,Megleno-Romanian,Indo-European,OK
Romanian,Indo-European,roma1327,Romanian,Indo-European,OK
Sardinian,Indo-European,logu1236,Logudorese Sardinian,Indo-European,MANUAL
Old Irish,Indo-European,oldi1246,Old Irish (8-9th century),Indo-European,OK
Irish,Indo-European,iris1253,Irish,Indo-European,OK
Scottish Gaelic,Indo-European,scot1245,Scottish Gaelic,Indo-European,OK
Manx,Indo-European,manx1243,Manx,Indo-European,OK
Breton,Indo-European,bret1244,Breton,Indo-European,OK
Cornish,Indo-European,corn1251,Cornish,Indo-European,OK
Welsh,Indo-European,wels1247,Welsh,Indo-European,OK
Old East Slavic,Indo-European,oldr1238,Old Russian,Indo-European,MANUAL
Belarusian,Indo-European,bela1254,Belarusian,Indo-European,OK
Russian,Indo-European,russ1263,Russian,Indo-European,OK
Ukrainian,Indo-European,ukra1253,Ukrainian,Indo-European,OK
Carpathian Rusyn,Indo-European,rusy1239,Rusyn,Indo-European,MANUAL
Pannonian Rusyn,Indo-European,pann1240,Pannonian Ruthenian,Indo-European,MANUAL
Old Polish,Indo-European,oldp1256,Old Polish,Indo-European,OK
Polish,Indo-European,poli1260,Polish,Indo-European,OK
Kashubian,Indo-European,kash1274,Kashubian,Indo-European,OK
Silesian,Indo-European,sile1253,Silesian,Indo-European,OK
Old Czech,Indo-European,oldc1253,Old Czech,Indo-European,OK
Czech,Indo-European,czec1258,Czech,Indo-European,OK
Old Slovak,Indo-European,slov1269,Slovak,Indo-European,MANUAL
Slovak,Indo-European,slov1269,Slovak,Indo-European,OK
Lower Sorbian,Indo-European,lowe1385,Lower Sorbian,Indo-European,OK
Upper Sorbian,Indo-European,uppe1395,Upper Sorbian,Indo-European,OK
Old Church Slavonic,Indo-European,chur1257,Church Slavic,Indo-European,MANUAL
Bulgarian,Indo-European,bulg1262,Bulgarian,Indo-European,OK
Macedonian,Indo-European,mace1250,Macedonian,Indo-European,OK
Serbo-Croatian,Indo-European,sout1528,Serbian-Croatian-Bosnian,Indo-European,MANUAL
Slovene,Indo-European,slov1268,Slovenian,Indo-European,MANUAL
Lithuanian,Indo-European,lith1251,Lithuanian,Indo-European,OK
Samogitian,Indo-European,samo1265,Samogitian,Indo-European,OK
Latvian,Indo-European,latv1249,Latvian,Indo-European,OK
Latgalian,Indo-European,east2282,East Latvian,Indo-European,MANUAL
Old Prussian,Indo-European,prus1238,Old Prussian,Indo-European,OK
Sanskrit,Indo-European,sans1269,Sanskrit,Indo-European,OK
Pali,Indo-European,pali1273,Pali,Indo-European,OK
Gandhari,Indo-European,gand1259,Gandhari,Indo-European,OK
Assamese,Indo-European,assa1263,Assamese,Indo-European,OK
Awadhi,Indo-European,awad1243,Awadhi,Indo-European,OK
Bengali,Indo-European,beng1280,Bengali,Indo-European,OK
Bhojpuri,Indo-European,bhoj1244,Bhojpuri,Indo-European,OK
Dhivehi,Indo-European,dhiv1236,Dhivehi,Indo-European,OK
Dogri,Indo-European,dogr1250,Dogri,Indo-European,OK
Gujarati,Indo-European,guja1252,Gujarati,Indo-European,OK
Hindi,Indo-European,hind1269,Hindi,Indo-European,OK
Kashmiri,Indo-European,kash1277,Kashmiri,Indo-European,OK
Magahi,Indo-European,maga1260,Magahi,Indo-European,OK
Maithili,Indo-European,mait1250,Maithili,Indo-European,OK
Marathi,Indo-European,mara1378,Marathi,Indo-European,OK
Marwari,Indo-European,marw1260,Marwari (India),Indo-European,OK
Nepali,Indo-European,nepa1254,Nepali,Indo-European,OK
Odia,Indo-European,oriy1255,Odia,Indo-European,OK
Punjabi,Indo-European,panj1256,Eastern Panjabi,Indo-European,MANUAL
Rohingya,Indo-European,rohi1238,Rohingya,Indo-European,OK
Romani,Indo-European,roma1329,Romani,Indo-European,OK
Sindhi,Indo-European,sind1272,Sindhi,Indo-European,OK
Sinhalese,Indo-European,sinh1246,Sinhala,Indo-European,MANUAL
Sylheti,Indo-European,sylh1242,Sylheti,Indo-European,OK
Urdu,Indo-European,urdu1245,Urdu,Indo-European,OK
Vaghri,Indo-European,vagh1246,Vaghri,Indo-European,OK
Old Persian,Indo-European,oldp1254,Old Persian (ca. 600-400 B.C.),Indo-European,OK
Middle Persian,Indo-European,pahl1241,Pahlavi,Indo-European,MANUAL
Dari,Indo-European,dari1249,Dari,Indo-European,OK
Iranian Persian,Indo-European,west2369,Western Farsi,Indo-European,MANUAL
Tajik,Indo-European,taji1245,Tajik,Indo-European,OK
Central Kurdish,Indo-European,cent1972,Central Kurdish,Indo-European,OK
Northern Kurdish,Indo-European,nort2641,Northern Kurdish,Indo-European,OK
Southern Kurdish,Indo-European,sout2640,Southern Kurdish,Indo-European,OK
Laki,Indo-European,laki1244,Laki,Indo-European,OK
Zazaki,Indo-European,diml1238,Dimli,Indo-European,MANUAL
Talysh,Indo-European,taly1247,North-Central Talysh,Indo-European,MANUAL
Tat,Indo-European,musl1236,Muslim Tat,Indo-European,MANUAL
Mazanderani,Indo-European,maza1291,Mazanderani,Indo-European,OK
Sivandi,Indo-European,siva1239,Sivandi,Indo-European,OK
Baluchi,Indo-European,balo1260,Balochic,Indo-European,MANUAL
Avestan,Indo-European,aves1237,Avestan,Indo-European,OK
Ossetian,Indo-European,iron1242,Iron Ossetian,Indo-European,MANUAL
Pashto,Indo-European,pash1269,Pashto,Indo-European,OK
Yaghnobi,Indo-European,yagn1238,Yagnobi,Indo-European,MANUAL
Shughni,Indo-European,shug1248,Shughni,Indo-European,OK
Sarikoli,Indo-European,sari1246,Sarikoli,Indo-European,OK
Yazghulami,Indo-European,yazg1240,Yazgulyam,Indo-European,MANUAL
Munji,Indo-European,munj1244,Munji,Indo-European,OK
Yidgha,Indo-European,yidg1240,Yidgha,Indo-European,OK
Parachi,Indo-European,para1299,Parachi,Indo-European,OK
Ancient Greek,Indo-European,anci1242,Ionic-Attic Ancient Greek,Indo-European,MANUAL
Greek,Indo-European,gree1276,Greek,Indo-European,OK
Albanian,Indo-European,alba1267,Albanian,Indo-European,OK
Armenian,Indo-European,nucl1235,Eastern Armenian,Indo-European,MANUAL
Hittite,Indo-European,hitt1242,Hittite,Indo-European,OK
Luwian,Indo-European,cune1239,Cuneiform Luwian,Indo-European,MANUAL
Tocharian A,Indo-European,tokh1242,Tokharian A,Indo-European,MANUAL
Tocharian B,Indo-European,tokh1243,Tokharian B,Indo-European,MANUAL
Akkadian,Afro-Asiatic,akka1240,Akkadian,Afro-Asiatic,OK
Arabic,Afro-Asiatic,arab1395,Arabic,Afro-Asiatic,OK
Egyptian Arabic,Afro-Asiatic,egyp1253,Egyptian Arabic,Afro-Asiatic,OK
Gulf Arabic,Afro-Asiatic,gulf1241,Gulf Arabic,Afro-Asiatic,OK
Hijazi Arabic,Afro-Asiatic,hija1235,Hijazi Arabic,Afro-Asiatic,OK
Moroccan Arabic,Afro-Asiatic,moro1292,Moroccan Arabic,Afro-Asiatic,OK
South Levantine Arabic,Afro-Asiatic,sout3123,South Levantine Arabic,Afro-Asiatic,OK
Maltese,Afro-Asiatic,malt1254,Maltese,Afro-Asiatic,OK
Aramaic (Hebrew script),Afro-Asiatic,aram1259,Aramaic,Afro-Asiatic,OK
Syriac,Afro-Asiatic,clas1252,Classical Syriac,Afro-Asiatic,MANUAL
Hebrew,Afro-Asiatic,hebr1245,Modern Hebrew,Afro-Asiatic,MANUAL
Phoenician,Afro-Asiatic,phoe1239,Phoenician,Afro-Asiatic,OK
Ugaritic,Afro-Asiatic,ugar1238,Ugaritic,Afro-Asiatic,OK
