name,url,version,license,commercial_ok,notes
wals,https://github.com/cldf-datasets/wals/archive/refs/heads/master.zip,master,CC-BY-4.0,yes,World Atlas of Language Structures (CLDF)
wals-2020.4,https://github.com/cldf-datasets/wals/archive/refs/tags/v2020.4.zip,v2020.4,CC-BY-4.0,yes,WALS pinned release
grambank,https://github.com/grambank/grambank/archive/refs/heads/master.zip,master,CC-BY-4.0,yes,Grambank grammatical features database
concepticon,https://github.com/concepticon/concepticon-data/archive/refs/tags/v3.4.0.zip,v3.4.0,CC-BY-4.0,yes,Concepticon concept list catalog
clts,https://github.com/cldf-clts/clts/archive/refs/heads/master.zip,master,CC-BY-4.0,yes,Cross-Linguistic Transcription Systems
clts-2.3.0,https://github.com/cldf-clts/clts/archive/refs/tags/v2.3.0.zip,v2.3.0,CC-BY-4.0,yes,CLTS pinned release
wold,https://github.com/lexibank/wold/archive/refs/heads/master.zip,master,CC-BY-4.0,yes,World Loanword Database (CLDF)
phonotacticon,https://github.com/phonotacticon/phonotacticon/archive/refs/heads/main.zip,main,CC-BY-4.0,yes,Phonotacticon syllable-structure database (verify URL)
bdproto,https://github.com/bdproto/bdproto/archive/refs/heads/master.zip,master,CC-BY-SA-4.0,yes,BDPROTO reconstructed-proto inventories; ShareAlike
morphynet,https://github.com/kbatsuren/MorphyNet/archive/refs/heads/main.zip,main,CC-BY-SA-4.0,yes,MorphyNet morphological database; ShareAlike
phoible,https://github.com/phoible/dev/archive/refs/heads/master.zip,master,GPL-3.0+CC-BY-SA-3.0,yes,PHOIBLE phonological inventories; code GPL-3.0 / data CC-BY-SA; ShareAlike
wiktextract,https://github.com/tatuylonen/wiktextract/archive/refs/heads/master.zip,master,MIT+CC-BY-SA,yes,Wiktextract; code MIT / extracted data CC-BY-SA/GFDL; ShareAlike
pbase,https://pbase.phon.chass.ncsu.edu/,2022-10-02,CC-BY-NC-SA-4.0,no,PBase phonological alternations; NonCommercial; MANUAL download
morpholex-en,https://github.com/hugomailhot/MorphoLex-en/archive/refs/heads/master.zip,master,CC-BY-NC-SA-4.0,no,MorphoLex-en; NonCommercial; ShareAlike
